Experiment,Scaler,Fold,Model,FitSec,InferSec,TP,TN,FP,FN,ACC,PREC,REC,F1,ROC_AUC,PR_AUC
A2_drop_behavioral,standard,1,IF,3.5614876747131348,0.10516858100891113,1599,1598,180,179,0.8990438695163104,0.8988195615514334,0.8993250843644545,0.8990722518976666,0.9583808351290173,0.949174048307554
A2_drop_behavioral,standard,2,IF,3.602515459060669,0.10865616798400879,1570,1570,208,208,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.950909503859824,0.9452089767108147
A2_drop_behavioral,standard,3,IF,3.5111851692199707,0.10434579849243164,1573,1573,205,205,0.8847019122609674,0.8847019122609674,0.8847019122609674,0.8847019122609673,0.9524392620213811,0.9446973303257427
A2_drop_behavioral,standard,4,IF,3.67567777633667,0.10529327392578125,1566,1566,212,212,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.9553130942996582,0.9490845927851808
A2_drop_behavioral,standard,5,IF,3.5649125576019287,0.10486125946044922,1587,1587,191,191,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.9600959610082486,0.9575131229456137
A3_drop_system,standard,1,IF,1.8073580265045166,0.07156729698181152,1375,1375,403,403,0.7733408323959505,0.7733408323959505,0.7733408323959505,0.7733408323959505,0.8531231297156472,0.8267427723644325
A3_drop_system,standard,2,IF,1.781059980392456,0.07089352607727051,1357,1356,422,421,0.7629358830146231,0.762788083192805,0.7632170978627671,0.7630025302220973,0.8366923060376734,0.7957379597547748
A3_drop_system,standard,3,IF,1.8526225090026855,0.08392524719238281,1335,1331,447,443,0.749718785151856,0.7491582491582491,0.750843644544432,0.75,0.8360107791644156,0.8021078707849925
A3_drop_system,standard,4,IF,1.7998039722442627,0.07051324844360352,1394,1394,384,384,0.7840269966254219,0.7840269966254219,0.7840269966254219,0.7840269966254217,0.8513339832802116,0.8054431891824118
A3_drop_system,standard,5,IF,1.8099803924560547,0.0719919204711914,1382,1382,396,396,0.7772778402699663,0.7772778402699663,0.7772778402699663,0.7772778402699663,0.8511658553929353,0.8107848379730642
A4_drop_semantic,standard,1,IF,3.4813072681427,0.10462069511413574,1599,1598,180,179,0.8990438695163104,0.8988195615514334,0.8993250843644545,0.8990722518976666,0.9583808351290173,0.949174048307554
A4_drop_semantic,standard,2,IF,3.6334545612335205,0.10847806930541992,1570,1570,208,208,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.950909503859824,0.9452089767108147
A4_drop_semantic,standard,3,IF,3.514782428741455,0.10545802116394043,1573,1573,205,205,0.8847019122609674,0.8847019122609674,0.8847019122609674,0.8847019122609673,0.9524392620213811,0.9446973303257427
A4_drop_semantic,standard,4,IF,3.6300899982452393,0.11642932891845703,1566,1566,212,212,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.9553130942996582,0.9490845927851808
A4_drop_semantic,standard,5,IF,3.5612478256225586,0.10492134094238281,1587,1587,191,191,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.9600959610082486,0.9575131229456137
A5_drop_temporal,standard,1,IF,3.5390288829803467,0.10445380210876465,1599,1598,180,179,0.8990438695163104,0.8988195615514334,0.8993250843644545,0.8990722518976666,0.9583808351290173,0.949174048307554
A5_drop_temporal,standard,2,IF,3.6276016235351562,0.10683584213256836,1570,1570,208,208,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.950909503859824,0.9452089767108147
A5_drop_temporal,standard,3,IF,3.572795867919922,0.10422921180725098,1573,1573,205,205,0.8847019122609674,0.8847019122609674,0.8847019122609674,0.8847019122609673,0.9524392620213811,0.9446973303257427
A5_drop_temporal,standard,4,IF,3.636375665664673,0.10530591011047363,1566,1566,212,212,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.9553130942996582,0.9490845927851808
A5_drop_temporal,standard,5,IF,3.607140302658081,0.10597109794616699,1587,1587,191,191,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.9600959610082486,0.9575131229456137
A7_scaler_standard,standard,1,IF,3.4943182468414307,0.11006474494934082,1599,1598,180,179,0.8990438695163104,0.8988195615514334,0.8993250843644545,0.8990722518976666,0.9583808351290173,0.949174048307554
A7_scaler_standard,standard,2,IF,3.61255145072937,0.10566163063049316,1570,1570,208,208,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.8830146231721034,0.950909503859824,0.9452089767108147
A7_scaler_standard,standard,3,IF,3.52532958984375,0.10516691207885742,1573,1573,205,205,0.8847019122609674,0.8847019122609674,0.8847019122609674,0.8847019122609673,0.9524392620213811,0.9446973303257427
A7_scaler_standard,standard,4,IF,3.649134635925293,0.10773229598999023,1566,1566,212,212,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.8807649043869517,0.9553130942996582,0.9490845927851808
A7_scaler_standard,standard,5,IF,3.575361967086792,0.12639212608337402,1587,1587,191,191,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.8925759280089989,0.9600959610082486,0.9575131229456137
A7_scaler_robust,robust,1,IF,3.4862260818481445,0.10395026206970215,1541,1541,237,237,0.8667041619797525,0.8667041619797525,0.8667041619797525,0.8667041619797525,0.9335896426894894,0.9262606840490477
A7_scaler_robust,robust,2,IF,3.6075925827026367,0.10595989227294922,1512,1512,266,266,0.8503937007874016,0.8503937007874016,0.8503937007874016,0.8503937007874016,0.9273921609067709,0.9192553955716654
A7_scaler_robust,robust,3,IF,3.548891305923462,0.1056060791015625,1512,1512,266,266,0.8503937007874016,0.8503937007874016,0.8503937007874016,0.8503937007874016,0.93146218435294,0.9239424543008842
A7_scaler_robust,robust,4,IF,3.633774995803833,0.1061391830444336,1492,1492,286,286,0.8391451068616423,0.8391451068616423,0.8391451068616423,0.8391451068616423,0.9252832077092725,0.9206136969421553
A7_scaler_robust,robust,5,IF,3.5755388736724854,0.10894536972045898,1510,1508,270,268,0.8487064116985377,0.848314606741573,0.8492688413948256,0.8487914558740866,0.9392327611185836,0.9378233151146345
A7_scaler_minmax,minmax,1,IF,3.538635730743408,0.09895586967468262,1706,1706,72,72,0.9595050618672666,0.9595050618672666,0.9595050618672666,0.9595050618672666,0.9950570717467965,0.9942901681158579
A7_scaler_minmax,minmax,2,IF,3.626887083053589,0.09946441650390625,1719,1716,62,59,0.9659730033745781,0.9651880965749579,0.9668166479190101,0.9660016858668166,0.9955467461955333,0.9952789856913313
A7_scaler_minmax,minmax,3,IF,3.587172508239746,0.0995171070098877,1698,1694,84,80,0.953880764904387,0.9528619528619529,0.9550056242969629,0.9539325842696629,0.9939026357644551,0.9930915595646874
A7_scaler_minmax,minmax,4,IF,3.647871971130371,0.09804534912109375,1704,1702,76,74,0.9578177727784027,0.9573033707865168,0.9583802024746907,0.957841483979764,0.9948152396304792,0.994164848162338
A7_scaler_minmax,minmax,5,IF,3.581699848175049,0.09893655776977539,1701,1700,78,77,0.9564116985376828,0.9561551433389545,0.9566929133858267,0.9564239527691876,0.995796960981677,0.9955604196053058
